Date,Open,High,Low,Close
09/23/2011,"1,128.82","1,141.72","1,121.36","1,136.43"
09/22/2011,"1,164.55","1,164.55","1,114.22","1,129.56"
09/21/2011,"1,203.63","1,206.30","1,166.21","1,166.76"
09/20/2011,"1,204.50","1,220.39","1,201.29","1,202.09"
09/19/2011,"1,214.99","1,214.99","1,188.36","1,204.09"
09/16/2011,"1,209.21","1,220.06","1,204.46","1,216.01"
09/15/2011,"1,189.44","1,209.11","1,189.44","1,209.11"
09/14/2011,"1,173.32","1,202.38","1,162.73","1,188.68"
09/13/2011,"1,162.59","1,176.41","1,157.44","1,172.87"
09/12/2011,"1,153.50","1,162.52","1,136.07","1,162.27"
09/09/2011,"1,185.37","1,185.37","1,148.37","1,154.23"
09/08/2011,"1,197.98","1,204.40","1,183.34","1,185.90"
09/07/2011,"1,165.85","1,198.62","1,165.85","1,198.62"
09/06/2011,"1,173.97","1,173.97","1,140.13","1,165.24"
09/02/2011,"1,203.90","1,203.90","1,170.56","1,173.97"
09/01/2011,"1,219.12","1,229.29","1,203.85","1,204.42"
08/31/2011,"1,213.00","1,230.71","1,209.35","1,218.89"
08/30/2011,"1,209.76","1,220.10","1,195.77","1,212.92"
08/29/2011,"1,177.91","1,210.28","1,177.91","1,210.08"
08/26/2011,"1,158.85","1,181.23","1,135.91","1,176.80"
08/25/2011,"1,176.69","1,190.68","1,155.47","1,159.27"
08/24/2011,"1,162.16","1,178.56","1,156.30","1,177.60"
08/23/2011,"1,124.36","1,162.35","1,122.91","1,162.35"
08/22/2011,"1,123.55","1,145.49","1,121.09","1,123.82"
08/19/2011,"1,140.47","1,154.54","1,122.05","1,123.53"
08/18/2011,"1,189.62","1,189.62","1,131.03","1,140.65"
08/17/2011,"1,192.89","1,208.47","1,184.36","1,193.89"
08/16/2011,"1,204.22","1,204.22","1,180.53","1,192.76"
08/15/2011,"1,178.86","1,204.49","1,178.86","1,204.49"
08/12/2011,"1,172.87","1,189.04","1,170.74","1,178.81"
08/11/2011,"1,121.30","1,186.29","1,121.30","1,172.64"
08/10/2011,"1,171.77","1,171.77","1,118.01","1,120.76"
08/09/2011,"1,120.23","1,172.88","1,101.54","1,172.53"
08/08/2011,"1,198.48","1,198.48","1,119.28","1,119.46"
08/05/2011,"1,200.28","1,218.11","1,168.09","1,199.38"
08/04/2011,"1,260.23","1,260.23","1,199.54","1,200.07"
08/03/2011,"1,254.25","1,261.20","1,234.56","1,260.34"
08/02/2011,"1,286.56","1,286.56","1,254.03","1,254.05"
08/01/2011,"1,292.59","1,307.38","1,274.73","1,286.94"
07/29/2011,"1,300.12","1,304.16","1,282.86","1,292.28"
07/28/2011,"1,304.84","1,316.32","1,299.16","1,300.67"
07/27/2011,"1,331.91","1,331.91","1,303.49","1,304.89"
07/26/2011,"1,337.39","1,338.51","1,329.59","1,331.94"
07/25/2011,"1,344.32","1,344.32","1,331.09","1,337.43"
07/22/2011,"1,343.80","1,346.10","1,336.95","1,345.02"
07/21/2011,"1,325.65","1,347.00","1,325.65","1,343.80"
07/20/2011,"1,328.66","1,330.43","1,323.65","1,325.84"
07/19/2011,"1,307.07","1,328.14","1,307.07","1,326.73"
07/18/2011,"1,315.94","1,315.94","1,295.92","1,305.44"
07/15/2011,"1,308.87","1,317.70","1,307.52","1,316.14"
07/14/2011,"1,317.74","1,326.88","1,306.51","1,308.87"
07/13/2011,"1,314.45","1,331.48","1,314.45","1,317.72"
07/12/2011,"1,319.61","1,327.17","1,313.33","1,313.64"
07/11/2011,"1,343.31","1,343.31","1,316.42","1,319.49"
07/08/2011,"1,352.39","1,352.39","1,333.71","1,343.80"
07/07/2011,"1,339.62","1,356.48","1,339.62","1,353.22"
07/06/2011,"1,337.56","1,340.94","1,330.92","1,339.22"
07/05/2011,"1,339.59","1,340.89","1,334.30","1,337.88"
07/01/2011,"1,320.64","1,341.01","1,318.18","1,339.67"
06/30/2011,"1,307.64","1,321.97","1,307.64","1,320.64"
06/29/2011,"1,296.85","1,309.21","1,296.85","1,307.41"
06/28/2011,"1,280.21","1,296.80","1,280.21","1,296.67"
06/27/2011,"1,268.44","1,284.91","1,267.53","1,280.10"
06/24/2011,"1,283.04","1,283.93","1,267.24","1,268.45"
06/23/2011,"1,286.60","1,286.60","1,262.87","1,283.50"
06/22/2011,"1,295.48","1,298.61","1,286.79","1,287.14"
06/21/2011,"1,278.40","1,297.62","1,278.40","1,295.52"
06/20/2011,"1,271.50","1,280.42","1,267.56","1,278.36"
06/17/2011,"1,268.58","1,279.82","1,267.40","1,271.50"
06/16/2011,"1,265.53","1,274.11","1,258.07","1,267.64"
06/15/2011,"1,287.87","1,287.87","1,261.90","1,265.42"
06/14/2011,"1,272.22","1,292.50","1,272.22","1,287.87"
06/13/2011,"1,271.31","1,277.04","1,265.64","1,271.83"
06/10/2011,"1,288.60","1,288.60","1,268.28","1,270.98"
06/09/2011,"1,279.63","1,294.54","1,279.63","1,289.00"
06/08/2011,"1,284.63","1,287.04","1,277.42","1,279.56"
06/07/2011,"1,286.31","1,296.22","1,284.74","1,284.94"
06/06/2011,"1,300.26","1,300.26","1,284.72","1,286.17"
06/03/2011,"1,312.94","1,312.94","1,297.90","1,300.16"
06/02/2011,"1,314.55","1,318.03","1,305.61","1,312.94"
06/01/2011,"1,345.20","1,345.20","1,313.71","1,314.55"
05/31/2011,"1,331.10","1,345.20","1,331.10","1,345.20"
05/27/2011,"1,325.69","1,334.62","1,325.69","1,331.10"
05/26/2011,"1,320.64","1,328.51","1,314.41","1,325.69"
05/25/2011,"1,316.36","1,325.86","1,311.80","1,320.47"
05/24/2011,"1,317.70","1,323.72","1,313.87","1,316.28"
05/23/2011,"1,333.07","1,333.07","1,312.88","1,317.37"
05/20/2011,"1,342.00","1,342.00","1,330.67","1,333.27"
05/19/2011,"1,342.40","1,346.82","1,336.36","1,343.60"
05/18/2011,"1,328.54","1,341.82","1,326.59","1,340.68"
